# 额外反应文件
# 格式: EC编号 | 反应名称 | 反应方程式 | 通路

# 转运反应
transport_1 | glucose transport | glucose[e] -> glucose[c] | transport
transport_2 | phosphate transport | phosphate[e] -> phosphate[c] | transport
transport_3 | oxygen transport | oxygen[e] -> oxygen[c] | transport

# 生物量反应
biomass_1 | biomass formation | 0.5 glucose + 0.3 amino_acids + 0.2 nucleotides -> biomass | biomass

# 维护反应
maintenance_1 | ATP maintenance | ATP -> ADP + phosphate | maintenance

# 额外的代谢反应
2.4.1.1 | glycogen phosphorylase | glycogen + phosphate -> glucose-1-phosphate | carbohydrate
3.1.3.11 | fructose-1,6-bisphosphatase | fructose-1,6-bisphosphate -> fructose-6-phosphate + phosphate | gluconeogenesis
4.1.1.32 | phosphoenolpyruvate carboxykinase | oxaloacetate + GTP -> phosphoenolpyruvate + GDP + CO2 | gluconeogenesis

# 脂肪酸合成相关
2.3.1.38 | acetyl-CoA carboxylase | acetyl-CoA + ATP + CO2 -> malonyl-CoA + ADP + phosphate | fatty_acid_synthesis
2.3.1.85 | fatty acid synthase | acetyl-CoA + malonyl-CoA + NADPH -> fatty_acid + CoA + NADP+ | fatty_acid_synthesis

# 氨基酸代谢相关
2.6.1.1 | aspartate aminotransferase | aspartate + alpha-ketoglutarate -> oxaloacetate + glutamate | amino_acid
2.6.1.2 | alanine aminotransferase | alanine + alpha-ketoglutarate -> pyruvate + glutamate | amino_acid
1.4.1.3 | glutamate dehydrogenase | glutamate + NAD+ -> alpha-ketoglutarate + NADH + NH3 | amino_acid

# 核苷酸合成相关
2.4.2.14 | hypoxanthine phosphoribosyltransferase | hypoxanthine + PRPP -> IMP + pyrophosphate | nucleotide
6.3.4.4 | adenylosuccinate synthetase | IMP + aspartate + GTP -> adenylosuccinate + GDP + phosphate | nucleotide
4.3.2.2 | adenylosuccinate lyase | adenylosuccinate -> AMP + fumarate | nucleotide
